icao	city	country	state	name	type	longitude	latitude	elevation
PKRO	Roi-Namur	Marshall Islands	Kwajalein	Dyess Army Air Field	small_airport	167.4709930	9.3968900	9
PKWA	Kwajalein	Marshall Islands	Kwajalein	Bucholz Army Air Field	medium_airport	167.7319946	8.7201204	9
PL-0001	Pobiedziska	NULL	NULL	Poznań-Bednary Airfield	small_airport	17.2188000	52.5344000	341
PL-0002	Bagicz	NULL	NULL	Kołobrzeg-Bagicz Airfield	small_airport	15.6837520	54.2000770	20
PL-0076	Żerniki	NULL	NULL	Żerniki Gądki Airfield	small_airport	17.0408530	52.3225360	260
PL-0083	Kazimierza Mała	NULL	NULL	Kazimierza Mała Airfield	small_airport	20.5414020	50.2602830	615
PL-0120	Kałduny	NULL	NULL	Bełchatów Airstrip	small_airport	19.3782390	51.4021160	NULL
PL-0264	Redzikowo	NULL	NULL	Redzikowo Air Base / Słupsk-Redzikowo Airport	closed	17.1075000	54.4789010	217
PL-0265	Legnica	NULL	NULL	Legnica Airport	closed	16.1782000	51.1828000	407
PLCH	Kiritimati	Kiribati	Line Islands	Cassidy International Airport	medium_airport	-157.3500110	1.9862780	5
PMDY	Sand Island	United States Minor Outlying Islands	Midway Islands	Henderson Field	medium_airport	-177.3809970	28.2017000	13
PPIZ	Point Lay	United States	Alaska	Point Lay LRRS Airport	medium_airport	-163.0050050	69.7329030	22
PR-0009	Fajardo	NULL	NULL	Diego Jiménez Torres Airport	closed	-65.6619030	18.3089010	64
PT-0017		NULL	NULL	Alentejo Air Park	closed	-8.7372220	37.4655560	422
PT-0021	Benavente	NULL	NULL	Benavente UL	small_airport	-8.7869810	38.9142270	130
PT-0022	Vila Nova de Cerveira	NULL	NULL	Aerodromo do Cerval UL	small_airport	-8.6738060	41.9729580	110
PT-0023	Póvoa do Varzim	NULL	NULL	Laúndos Airfield UL	small_airport	-8.7082900	41.4487000	250
PT-0024	Sintra	NULL	NULL	Tojeira Airfield UL	small_airport	-9.4278680	38.8844400	180
PT-0031	Beja	NULL	NULL	Beja Civil Airfield UL	small_airport	-7.8776700	38.0613800	617
PT-0032	Montemor-o-Novo	NULL	NULL	Amendoeira Aerodrome	small_airport	-8.2752770	38.7091670	614
PT-0041	Vila Franca de Xira	NULL	NULL	Leziria Aerodrome	small_airport	-8.9368200	38.9022970	NULL
PT-0117	Azambuja	NULL	NULL	Aerodromo do Alqueidão UL	small_airport	-8.8042550	39.0668470	NULL
PT-0130	Montijo	NULL	NULL	Herdade do Pontal Airstrip UL	small_airport	-8.6100630	38.7116670	NULL
PT-0157	Covilhã	NULL	NULL	Covilhã Airfield	closed	-7.4799600	40.2648010	1572
PTKK	Weno Island	Micronesia	Chuuk State	Chuuk International Airport	medium_airport	151.8430023	7.4618702	11
PTPN	Pohnpei Island	Micronesia	Pohnpei State	Pohnpei International Airport	medium_airport	158.2089996	6.9850998	10
PTRO	Babelthuap Island	Palau	Airai	Babelthuap Airport	medium_airport	134.5442360	7.3673100	176
PTSA	Okat	Micronesia	Kosrae State	Kosrae International Airport	medium_airport	162.9579930	5.3569800	11
PTYA	Yap Island	Micronesia	Yap State	Yap International Airport	medium_airport	138.0829930	9.4989100	91
PWAK	Wake Island	NULL	NULL	Wake Island Airfield	medium_airport	166.6366370	19.2824370	14
QJP	Pocheon	NULL	NULL	Pocheon (G-217) Airport	small_airport	127.1766330	37.8645550	328
RCAY	Kaohsiung (Gangshan)	Taiwan	Kaohsiung County	Gangshan Air Force Base	medium_airport	120.2630000	22.7824990	34
RCBS	Shang-I	Taiwan	Kinmen County	Kinmen Airport	medium_airport	118.3590010	24.4279000	93
RCDC	Pingtung	Taiwan	Pingtung County	Pingtung South Airport	medium_airport	120.4619980	22.6723995	78
RCDI	Longtan	Taiwan	Taoyuan County	Longtan Air Base	medium_airport	121.2363920	24.8535880	790
RCFG	Matsu (Nangan)	Taiwan	Lienchiang County	Matsu Nangan Airport	medium_airport	119.9583760	26.1596560	232
RCFN	Taitung City	Taiwan	Taitung County	Taitung Airport	medium_airport	121.1019974	22.7549992	143
RCGI	Lyudao	Taiwan	Taitung County	Lyudao Airport	small_airport	121.4660034	22.6739006	28
RCKH	Kaohsiung (Xiaogang)	NULL	NULL	Kaohsiung International Airport	large_airport	120.3499980	22.5771010	31
RCKU	Shuishang	Taiwan	Chiayi County	Chiayi Airport	medium_airport	120.3905440	23.4625770	85
RCKW	Hengchung	Taiwan	Pingtung County	Hengchun Airport	medium_airport	120.7300030	22.0411000	46
RCLY	Orchid Island	Taiwan	Taitung	Lanyu Airport	medium_airport	121.5350037	22.0270004	44
